Date,Amount,Payee,Description,Reference
2026-06-02,350.00,THE VELVET ROOM LTD,BACS CREDIT,INV-001
2026-06-05,432.00,HALLIDAY MODEL MGMT,FASTER PAYMENT,REMITTANCE JUN
2026-06-08,182.35,DEPOP LTD,PAYOUT,DP-88213
2026-06-12,150.00,MOBILE TRANSFER,FASTER PAYMENT,REF 99231
2026-06-13,-42.50,TFL TRAVEL,DIRECT DEBIT,
2026-06-16,275.00,BRIGHTSIDE STUDIOS,BACS CREDIT,INV-006
2026-06-19,96.40,PRS FOR MUSIC,DISTRIBUTION,JUN DIST
2026-06-20,720.00,J HALLIDAY MGMT LTD,FASTER PAYMENT,
2026-06-22,214.90,DEPOP LTD,PAYOUT,DP-90112
2026-06-24,60.00,PAYPAL TRANSFER,TRANSFER,
2026-06-25,-18.99,ADOBE SYSTEMS,DIRECT DEBIT,CC PHOTOGRAPHY
2026-06-27,-6.40,PRET A MANGER,CARD PAYMENT,
